correctness	problem_id	base_sequence_id	skill_name	Unit	user_id
0	P1	N1	S1	U1	A
1	P1	N1	S1	U1	A
0	P2	N1	S2	U1	A
1	P2	N1	S2	U1	A
0	P3	N2	S3	U1	A
1	P3	N2	S3	U1	A
0	P4	N2	S4	U1	A
1	P4	N2	S4	U1	A
0	P1	N1	S1	U1	A
1	P1	N1	S1	U1	A
0	P2	N1	S2	U1	B
1	P2	N1	S2	U1	B
0	P3	N2	S3	U1	B
1	P3	N2	S3	U1	B
0	P4	N2	S4	U1	B
1	P4	N2	S4	U1	B
0	P1	N1	S1	U1	B
1	P1	N1	S1	U1	B
0	P2	N1	S2	U1	B
1	P2	N1	S2	U1	B
0	P3	N2	S3	U1	C
1	P3	N2	S3	U1	C
0	P4	N2	S4	U1	C
1	P4	N2	S4	U1	C
0	P1	N1	S1	U1	C
1	P1	N1	S1	U1	C
0	P2	N1	S2	U1	C
1	P2	N1	S2	U1	C
0	P3	N2	S3	U1	C
1	P3	N2	S3	U1	C
0	P4	N2	S4	U1	D
1	P4	N2	S4	U1	D
0	P1	N1	S1	U1	D
1	P1	N1	S1	U1	D
0	P2	N1	S2	U1	D
1	P2	N1	S2	U1	D
0	P3	N2	S3	U1	D
1	P3	N2	S3	U1	D
0	P4	N2	S4	U1	D
1	P4	N2	S4	U1	D
