CF (Correct Answer)	Input	Similarity value
samplemean|mean	mean	1
squareroot	deviation	0
rootmeansquarederror	squared	0
observations	[timeout]	-0.119301
involves|uses|includes|observes	contains	0.02357036
variance	number	0.0532395
samplemean|mean	mean	1
participated	participate	0.2836498
samples	[timeout]	-0.02774676
squared	variable	0.07960542
describes|is|represents	sample	0.1207889
squareroot	square root	0
squareroot	square root	0
variance	[timeout]	-0.03662752
distribution	sample	0.2488885
sample	sample	1
variance	sample	0.2941584
samplemean|mean	mean	1
normal	fair	-0.04453765
squareroot	square root	0
variance	variance	1
distribution	sample	0.2488885
symmetric	[timeout]	0.03159622
range|set	difference	-0.02505179
squareroot	square root	0
normal	normal	1
involves|uses|includes|observes	involves	0.6161347
standarddeviation	[timeout]	0
samplemean|mean	mean	1
symmetric	smetrical	0
normal	normal	1
units	variance	0.03042916
standarddeviation	[timeout]	0
sample	sample	1
units	unit	0.6995343
samplemean|mean	mean	1
units	units	1
samples	samples	1
samplemean|mean	mean	1
participated	participaie	0
standarddeviation	deviation	0
mean|samplemean|average	mean	0.6045831
units	units	1
samplemean|mean	mean	1
units	units	1
units	units	1
sample	sample	1
density	variance	0.03799563
density	density	1
standarddeviation	standard deviation	0
99.7	varaible	0
samplemean|mean	mean	1
standarddeviation	mean	0
subject|participant|participants	participant	0.2563814
density	mean	-0.02488231
mean|samplemean|average	mean	0.6045831
samples	deviations	-0.07059249
variability	[timeout]	-0.1216482
units	units	1
standarddeviation	sample	0
density	standard deviation	0.07013468
mean	sample	0.04083578
standarderror	[timeout]	0
mean|samplemean|average	mean	0.6045831
1|one	[timeout]	0.00668314
normal	mean	-0.1335391
2	1	0
normal	normal	1
describes|is|represents	variance	0.1397778
normal	normal	1
standarddeviation	[timeout]	0
squared	standard	0.06013192
standarddeviation	[timeout]	0
units	units	1
statistic	sample	0.1564132
observation	sample	0.07037972
involves|uses|includes|observes	includes	0.6147089
samples	samples	1
observations	errors	0.05308265
describes|is|represents	sample	0.1207889
samples	samples	1
normal	normal	1
range|set	sample	0.1380402
normal	standrard	0
range|set	units	0.0314991
statistic	statistic	1
mean|samplemean|average	mean	0.6045831
normal	standrad	0
standarddeviation	standard deviation	0
standarderror	variable	0
95	1	0
involves|uses|includes|observes	includes	0.6147089
mean	mean	1
sample	statistic	0.1564132
units	units	1
standarddeviation	[timeout]	0
mean	mean	1
units	units	1
normal	normal	1
sample	sample	1
normal	normal	1
range|set	range	0.7634179
multiple|many	[timeout]	0.05981871
standarddeviation	standard deviation	0
observation	sample	0.07037972
involves|uses|includes|observes	includes	0.6147089
expect	[timeout]	0.06841187
mean	mean	1
characteristic	range	0.07808504
normal	normal	1
range	range	1
samples	samples	1
standarddeviation	standard deviation	0
mean|samplemean|average	mean	0.6045831
mean	sample	0.04083578
observation	ratio	0.09628877
variability	[timeout]	-0.1216482
range|set	[timeout]	-0.02050513
1	0	0
rootmeansquarederror	prime	0
probability	[timeout]	0.1245291
variability	[timeout]	-0.1216482
samplemean|mean	mean	1
probability|likelihood|chance	mode	0.04740683
standarddeviation	prime	0
range	equvilant	0
statistic	observation	0.05970104
statistic	point	-0.0008394803
characteristic	graph	-0.01849847
probability|likelihood|chance	[timeout]	0.04769977
involves|uses|includes|observes	observes	0.3778835
standarddeviation	[timeout]	0
observation	statistic	0.05970104
range|set	range	0.7634179
rootmeansquarederror	statistivs	0
range	mean	0.04283211
observations	[timeout]	-0.119301
symmetric	[timeout]	0.03159622
same	square	0.1056471
variability	[timeout]	-0.1216482
variability	varability	0
standarddeviation	[timeout]	0
rootmeansquarederror	range	0
same	[timeout]	-0.04236013
density	mean	-0.02488231
range|set	range	0.7634179
represents|describes|shows	[timeout]	-0.07480666
normal	[timeout]	-0.007178908
involves|uses|includes|observes	observes	0.3778835
symmetric	[timeout]	0.03159622
normal	standard	0.02859854
normal	normal	1
variance	[timeout]	-0.03662752
1	1	0
