wohlberg	86459	1	2
cyprian	8606	1	1
umcombined	57711	1	1
courbet	32317	0.9082619	9
egran	37312	0.9341032	2
foxholes	39160	1	1
growers	61095	0.6562459	49
defer	51823	0.7561527	13
cryptographic	55168	1	1
alexanders	23959	1	1
waterer	14636	1	5
ragbag	53995	0.8682063	4
deepened	13040	0.695325	26
hottentot	50014	0.9341032	2
huldah	76694	0.9096587	5
shampooings	64298	1	1
nowheres	15992	1	1
depose	87851	0.8150042	7
bourget	75759	1	1
rigidification	32452	1	1
clippity	44133	0.9341032	2
somehwat	21371	0.895556	3
preinstructed	71398	1	1
equates	2871	0.9341032	2
nevadas	27710	0.8682063	4
ajdustments	5212	1	1
plentifully	62422	0.8296592	6
spectating	46548	1	1
veered	18094	0.7720344	11
dripless	17295	1	1
jerries	1067	1	1
spares	42311	0.9341032	2
serviceability	31296	1	1
cubes	30200	0.6779189	52
veneers	33423	0.8516248	6
excuses	3824	0.6765655	45
wendorf	1219	1	2
navel	85220	0.9011548	4
halter	59701	0.7539069	17
sparks	42321	0.6360832	85
nailed	60116	0.6221464	61
endnotes	77052	1	1
fortifications	52532	0.7637623	12
telled	49536	1	1
talkeetna	60064	1	1
toussaint	19935	0.7938691	14
sterilizes	6444	1	1
walter	59719	0.5739579	221
villain	41233	0.6997682	29
headcloth	12180	1	1
marquette	80745	0.8150019	13
varas	59912	1	1
coata	81103	1	1
alessandro	57057	0.8469923	5
leered	18124	1	1
number	38260	0.239253	5300
syntetic	71031	1	1
whited	15630	1	1
syntatic	62773	1	1
gourmet	32390	0.7959969	11
parr	61989	1	1
tarr	62212	0.8806425	16
springdale	20121	0.895556	3
harr	37048	1	1
lavettes	62266	1	1
marr	37052	1	3
formalized	89018	0.791112	9
landsdowne	77250	0.9394872	3
barr	37055	0.8309451	13
carr	63054	0.7735988	32
carrillo	79393	0.9016415	14
farr	37058	0.9571656	6
excusing	83032	0.895556	3
catharsis	17541	0.9038468	6
womrath	47568	0.9394872	3
boats	67459	0.4676912	425
proselytize	11465	1	1
pint	33117	0.6593433	44
mtoto	30166	1	1
crowstairs	27700	0.9341032	2
disposed	72506	0.609993	65
choreographic	85407	1	1
honoring	2540	0.7425483	15
boop	69315	1	1
kruse	24609	1	1
lint	33125	0.7720344	11
pegging	33839	0.895556	3
dumber	38298	0.8682063	4
aint	33130	0.7566499	40
potteries	3899	1	2
dint	33132	0.7764288	13
matchbook	15405	0.895556	3
kilowatthour	49884	1	1
thrashing	49799	0.6935083	29
bailed	60182	0.8516248	6
smelted	51695	0.8682063	4
simpered	23695	1	1
radiofrequency	52756	1	1
bootmaker	58613	1	1
snappers	23623	0.9341032	2
scranton	2817	0.895556	3
collapsing	36393	0.7061375	22
hesitations	53901	0.8682063	4
templeton	79187	0.895556	3
smelled	51709	0.5130965	196
anothers	83482	1	1
whining	63724	0.7061375	22
starfishes	84259	1	1
soninkes	55025	0.9394872	3
mal	51845	0.9175216	6
affirm	47579	0.7200751	19
reassuring	57272	0.6593184	36
goaty	67512	1	1
brightening	50723	0.8469923	5
welled	62083	0.7720344	11
goats	67519	0.5619949	177
raccoon	76310	0.6824589	69
gratia	44690	0.9465393	4
scrollworks	86494	1	1
coop	69316	0.7406129	22
eligible	10759	0.6169745	64
pipeful	26569	0.9341032	2
filibuster	32746	0.873351	5
proved	6718	0.4216393	512
farmer	46489	0.4683176	619
teems	71638	0.895556	3
hellooo	83912	1	1
honeypot	34326	1	1
myrdal	57234	0.9341032	4
brough	84067	1	1
seizures	77806	0.7466345	23
mcmillan	81339	0.9105926	10
castings	1829	0.8282571	15
lintel	70358	0.8106691	13
ack	37877	0.8516248	6
bck	37931	1	1
fletcher	28250	0.7599148	47
seems	71658	0.327506	1370
eck	38120	1	3
recipients	39878	0.767935	14
failed	60262	0.4249543	477
levitated	52564	1	1
gaither	47542	0.8338319	7
poochy	10837	1	1
sivrac	14426	1	4
unacceptably	87173	0.8469923	5
hobbit	61962	0.8204496	21
altruist	81364	1	2
saber	20591	0.7046683	30
vergennes	53108	1	5
breastbone	3429	0.7450233	28
honshu	485	0.7776933	15
quotient	58416	0.8296592	6
sgb	44640	1	2
caterer	57753	0.9341032	2
yemens	60494	0.9394872	3
orlando	12597	0.812016	30
askaris	38527	1	1
crush	24734	0.5893466	81
igor	14297	0.8818812	6
jaques	28478	1	1
aeneid	30144	1	1
crust	24737	0.5233272	468
hazelswitch	2891	1	1
unresolved	51128	0.7561527	13
lodg	11310	1	1
spinoza	75456	0.873351	5
dictusm	1846	1	1
blackout	31015	0.791112	9
taxes	20676	0.4346227	881
borglum	83515	1	3
portraying	6477	0.8469923	5
brush	24749	0.4733627	419
windwardside	57099	1	1
taxed	20686	0.6163486	70
nonconstant	33575	1	1
overdosage	12277	1	1
predictor	46076	0.8150042	7
squabbled	79688	0.9341032	2
darners	65195	1	1
pissed	29974	0.9341032	2
scenarios	26181	0.8203995	9
aperture	53369	0.7564322	34
bogging	72062	0.9341032	2
custom	42572	0.5185474	205
leatherette	76175	0.9341032	2
calucation	41471	1	1
wanungy	9235	1	1
replanting	36394	1	1
diastase	27957	1	3
smoothing	16544	0.700394	26
hollows	81175	0.6890665	33
untypical	64621	0.9341032	2
withering	81660	0.8296592	6
eminent	21123	0.6798745	29
constrictors	39595	1	1
castalian	56302	0.9341032	2
platties	25618	1	1
trader	53345	0.6126508	73
steepest	12782	0.8023096	8
minnows	55081	0.841476	8
awesome	13337	0.6798745	29
marmots	10207	0.895556	3
priabin	57404	1	1
rostropovich	18972	1	3
gangly	8611	1	1
cherubs	24720	1	1
meddle	43541	0.895556	3
federalized	23074	0.895556	3
manifestos	21743	1	1
blennerhasset	36570	1	1
carnivorous	47929	0.7641845	28
chuquicamata	50877	1	1
godne	81933	1	1
tetrachloromethane	74757	1	1
rapallo	49972	0.895556	3
pseudogenes	69857	1	1
wakantanka	65976	1	1
skilful	62956	0.8296592	6
gorbachev	69672	0.9394872	3
probes	14829	0.6822503	40
biston	14887	0.9524272	5
karaganda	65199	1	1
absurdist	82884	1	1
fellahs	85090	1	1
broiling	37457	0.7677173	18
sirota	28176	1	1
waxes	1528	0.761124	16
celled	49808	0.5833427	170
unicycle	77980	0.895556	3
pappas	66554	1	3
dwarfing	82265	1	1
curvature	74815	0.743783	26
waxen	2269	0.895556	3
waxed	73619	0.7054629	26
zemsky	45990	1	4
falter	60021	0.791112	9
microfarad	22542	1	1
starched	42856	0.7384018	17
sno	23167	1	1
uno	76531	1	1
garners	65300	1	1
hno	23171	1	1
ino	23172	0.9011548	4
belled	49826	0.9341032	2
kno	23174	0.9341032	2
mno	23175	0.9394872	3
agreements	70876	0.5811018	127
ixlahuaca	88439	1	1
bno	23177	1	1
cno	23178	1	1
chamomile	16905	0.9341032	2
bullet	42189	0.5943426	106
whydah	71817	1	1
howarth	3667	1	1
jeems	26865	0.9610106	7
ssv	75248	1	1
licenses	69657	0.6885446	32
outnumbered	88771	0.6525967	40
helicopters	52435	0.6991079	28
raga	26541	1	1
saga	24192	0.8439219	11
asteroid	41432	0.7556484	31
zookalooloo	71751	1	2
mont	78873	0.8678811	15
able	44807	0.2480867	3354
showplaces	2787	0.9341032	2
kickingbird	38325	0.9394872	3
malayo	13753	1	1
naga	25672	0.8352579	8
earners	65329	0.6950224	37
tass	81967	0.9394872	3
tunnelled	11504	1	1
hass	34075	1	1
lass	58301	0.8106846	15
mass	81975	0.3824528	1689
territoral	21994	1	1
bass	81978	0.6642691	58
tactless	7171	0.8682063	4
dass	81980	1	3
protested	84079	0.5537701	112
wormed	26859	0.8682063	4
tunneller	3090	1	1
helga	13999	0.8818812	6
awarding	88241	0.8469923	5
shipowners	2654	0.8296592	6
tapir	73454	0.9341032	2
heparin	9885	1	1
hissed	30125	0.6284692	58
justifiably	25148	0.8296592	6
moomin	22918	1	1
deference	77890	0.7306492	17
exconfidence	54624	1	1
intensified	88463	0.6746344	32
castilian	56436	0.8682063	4
mashers	26933	1	1
packinghouses	54046	0.9360175	5
offa	36635	1	3
quake	73635	0.7731263	22
crosspiece	12239	0.9341032	2
revitalizer	69536	1	1
touchingly	30686	1	1
fawcett	70268	0.9300652	8
pleasanter	80368	0.791112	9
felled	49902	0.7637623	12
lashers	85754	1	1
handwashing	37573	0.9341032	2
hemmed	5355	0.7720344	11
overthrowing	29089	0.8296592	6
charta	54268	1	1
interactions	64718	0.5725105	151
tortoise	24070	0.7174142	49
governorship	59937	0.7513345	15
joyless	85728	1	1
naves	85225	1	1
sabbatini	62503	1	1
rubens	72040	0.8785936	7
smokin	2911	0.9341032	2
msokowitz	70883	1	1
sncl	45532	1	1
missed	30187	0.467877	306
huygens	62858	0.7952657	15
roosevelts	54474	1	1
num	3811	0.9341032	2
deems	71933	0.8187838	8
telecommunication	69347	0.9341032	2
sclms	30987	1	1
idylls	20967	1	1
preoperatively	86986	0.9341032	2
sidings	35637	0.895556	3
astrology	49485	0.785728	12
unassembled	21531	0.9341032	2
teen	40513	0.6035458	115
spontaneousy	6627	1	1
ventures	72672	0.675344	36
interceptions	47519	1	1
migrating	40202	0.7203799	22
gathering	20574	0.4700457	296
begging	34233	0.6202554	57
zeleika	73515	1	1
ridings	59387	1	1
aquaintance	75214	1	1
counterattacks	24378	1	1
seedless	24443	0.9096587	5
kissed	15744	0.5459761	140
kapiolani	14508	1	1
kennel	81862	0.7903159	14
semiannual	80770	1	1
flinders	84476	1	1
bellyache	40594	1	1
chidlren	79110	0.9341032	2
keraze	26009	1	2
engravings	65567	0.8150042	7
silvia	41924	1	2
forces	19379	0.3789941	1406
sic	52689	0.8338319	7
tic	26850	0.7806144	26
vic	52691	0.8337673	18
wic	1318	1	1
hic	52693	0.9038468	6
iic	1561	1	1
