Gender,Age,State,Vote,text,,,,
male,53,Ohio,Positive,TOO MANY IN THE COUNTRY WITHOUT HEALTHCARE.,,,,
male,43,New_Jersey,Positive,IT IS NOT FASCIST AND BECAUSE OF WHAT IS GOING ON IN THE NETHERLANDS.,,,,
female,73,New_Jersey,Positive,BECAUSE THIS COUNTRY IS TERRIBLE FOR US. THE BIGGEST COUNTRY IN THE WORLD NOT TO HAVE HEALTHCARE FOR THEIR PEOPLE. I'M SET BUT MY CHILDREN WON'T BE. THEY NEED TO GIVE IT A START.,,,,
female,40,Massachusetts,Positive,"WE DO NEED A UNIFORM HEALTH CODE. I NOW HAVE A MOTHER IN THE NURSING HOME. SHE HAS DEMENTIA. SHE IS OTHERWISE IN GOOD CONDITION EXCEPT FOR WE HAVE A NURSING HOME BECAUSE THE HOSPITAL STOPPED FEEDING HER. THE DOCTOR AT THE MEETING TOLD US THAT ONCE NURSING HOME PATIENTS HIT 80, LET NATURE TAKE ITS COURSE.",,,,
female,44,Michigan,Positive,"I THINK MEDICARE WORKED JUST FINE, AND THERE'S TOO MANY PEOPLE RIGHT NOW WITH NO HELP.",,,,
female,62,Florida,Positive,"THE HEALTHCARE SYSTEM IN OUR COUNTRY IS AN ABOMINATION. BECAUSE THE GREATEST COUNTRY IN THE WORLD HAS A DISMAL HEALTHCARE SYSTEM. HEALTHCARE IS A RIGHT, NOT A PRIVILEGE.",,,,
female,56,Maryland,Positive,IT DOES HELP ME TO GET MEDICINE AND OTHER ITEMS I NEED.,,,,
female,48,Kentucky,Positive,BECAUSE BLUE CROSS JUST RAISED THEIR RATES 40 PERCENT THIS YEAR AND I CAN'T LIVE FOR PAYING HEALTHCARE.,,,,
male,75,Massachusetts,Positive,BECAUSE THEY HAVE TO DO SOMETHING BECAUSE THEY DON'T GET CARE THAT THEY SHOULD HAVE IN THE HOSPITALS.,,,,
female,60,Ohio,Positive,"TOO MANY PEOPLE ARE UNINSURED, AND HEALTHCARE PRICES ARE RISING SO INSURED PEOPLE CAN'T AFFORD IT.",,,,
male,19,Florida,Positive,THINK PERSONALIZED HEALTHCARE WOULD BE SMARTER SO PEOPLE CAN RELY ON IT.,,,,
male,55,Maryland,Positive,IT'S AFFECTING ME RIGHT NOW.,,,,
