text,score1,score2,class
"The author concludes the story with this because gardens cannot grow with snow on the ground. So she she figurers when all the snow is melted she”ll try to grow another one. I feel as if she wasn’t  happy enough to grow another garden I think she should be more interested in growin it then disappointed.    ",x0,x0,x0,8863
"The narrater has that in with Paragraph becuse it all makes sence and it go'ss along together. The narrater says that when the guiss come out and the hibicus is budding is becuse it is ones more agian spring   ",x0,x0,x0,8864
"'The author concludes the story with that passage to show the importance of the inspiration Saeng gets from the hibiscus plant. Saeng, throughout the story was comforted by the hibiscus plant because it reminded her of home. The plant during the winter metaphorically explains: Saengs attitude towards her new country and her driving test; the hibiscus plant in the winter is not as beautiful in the bitter cold, but it adapts and survives, and returns to its beautiful state in the spring. Saeng is bitter about her new country and driving test, but is adapting, and will be inspired by the beautiful state of the hibiscus in the spring to try her test again. In conclusion, the author ended the story in that way to stress importance in the relationship between Saeng and the hibiscus plant.'",x3,x2,x3,8865
"The author ended the story with this paragraph because it shows change. The snow is melting represents change from cold to warm. The geese returning represents a new life as in coming back to something semi–new. Just like the author is going back to drivers ed. The hibiscus is budding represents growth. The author will be older and more knolageble and more skilled than before.",x1,x2,x2,8866
"'The author concludes the story with this paragraph of, “Winter Hibiscus”, because it takes us back to things that happened in the story. Saeng failed the test before. In the spring the hibiscus will be budding again. Saeng realized that many of the things she thought were strange, were almost familiar to her now. The calls of the snow geese were almost familiar to her. The snow melting will tell her that it is now spring. Some of the things that might happen as a result of spring coming might be that Seang will past the test. Her mother will be proud of her. Also, Saeng will start to become a customed to her new country and her new surrounding and stopremenising about her life back in Vietnam.'",x2,x2,x2,8867
"The reason the author concludes the story with this paragraph is because the author wanted to tell about about when saeng will take the test again. The author told the time with the season of the spring. In spring all the snows were melted and the geese and hibiscus has budding. And this paragraped make the reader to understand easyer. This is why the author include this paragraph in the story. ",x1,x1,x1,8868
"'The story ended with the author saying, ''when they come back, saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again.'' The author concludes the story with this paragraph because Saeng is upset about spending 19 on a plant that she had felt was different than the plant at home. She is stating that she is not going to take the test of buying one again until the geese return and the Hibiscus budds.'",x0,x0,x0,8869
"I believe that the author concludes the story with this paragraph because the paragraph helps bring to story to a closing. In the paragraph she is basically saying when the geese return and my flower is budding I'll be prepared enough to take the test. She'll be prepared because she'll be adapted enough and she'll have experienced enough just like the plant and the geese. She Is comparing her life to the lives of the geese and the life of her flower.",x2,x1,x2,8870
"The author would conclude the story with that paragraph because she failed the test before and she wants to pass it. It makes you wonder if she will pass it or not.",x1,x1,x1,8871
"'In the story, ''Winter Hibiscus,'' by Minfong Ho, it concludes the story with a good ending. In the story the girl buys a Hibiscus that remainds her of home. She goes home & tells her mother she failed her test but bought the plant. While she was planting it she seen geese and she was reminded of home. America was like home and she was happier. In the text she says, ''many of the things that she had thought of as strange before had become, almost familiar to her now.'' She is willing to give the test another try and is sure to pass it. America is now starting to feel a little more like home. '",x2,x2,x2,8872
